------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
45:     18.162   3.615   8.835  -0.766 -11.690 -27.487 -19.102  18.460   8.417  -9.727  10.043  -6.227  14.565  -0.149   0.509   1.723  -0.555  -1.413   1.787  -2.357   1.039   1.884   0.212  -2.025  -0.635  -0.324
46:     18.064   4.036   8.812  -1.558 -11.535 -22.589 -20.800  16.506  11.424 -12.080   8.684  -4.901  14.333   0.063   0.562   0.896   0.162  -0.342   1.006  -1.311  -0.544   2.235   0.192  -2.256   0.862  -0.407
47:     17.909   5.418   9.360   0.066 -12.554 -24.510 -19.460  14.975  12.850 -10.163   5.203  -1.714  13.986   0.090   0.579   0.551   0.803  -0.327   0.949  -1.414  -0.997   2.628   0.123  -2.923   2.055  -0.457
48:     19.238   5.400   8.799   1.728 -11.491 -26.047 -20.527  15.522  13.978  -8.929   2.195  -0.803  12.964  -0.006   0.535   1.152   0.803  -0.382   0.620  -1.359  -1.081   1.884   0.657  -2.458   1.524  -0.530
49:     18.025   5.829  11.597   1.606 -13.348 -21.012 -26.306  13.969  20.279 -10.687  -1.327   2.000  12.963  -0.456   0.468   1.432   0.589  -0.275   2.080  -0.936  -1.457  -0.342  -0.279   0.378   1.155  -0.620
50:     17.974   6.504  13.451   1.685 -13.048 -21.239 -24.173  11.603  17.131  -8.534  -0.342   0.863  12.193  -0.923   1.074   1.752   0.363  -0.547   2.675   0.861  -1.415  -2.077  -0.838   1.248   1.485  -0.953
51:     16.260   7.207  14.192   3.031 -13.149 -16.514 -22.318   9.652   9.562 -11.753   8.363   3.225  11.269  -1.124   1.781   1.179  -0.221   0.164   3.036   3.335  -1.505  -2.667  -0.518   1.332   0.494  -1.405
52:     15.504  10.081  16.264   2.832 -14.327 -14.923 -18.215  10.607   8.953 -12.586   3.590   6.009   9.044  -1.272   1.796   0.585  -1.569  -0.135   4.525   4.234  -0.787  -0.626   0.169   0.034  -0.590  -1.521
53:     13.640  12.944  16.087  -0.070 -11.888  -8.988 -12.608   6.942  11.031 -11.252   3.366   1.895   7.515  -1.390   1.234  -0.217  -0.933   0.059   3.073   5.591   0.277  -0.113   2.386  -0.689  -1.292  -1.626
54:     12.922  12.617  15.428  -4.611 -14.351  -2.379  -7.859   9.024  13.268  -7.940   2.328  -1.423   6.467  -1.416   0.186  -1.046   0.070   0.511   1.541   5.766   0.691  -1.185   3.522   0.411  -1.598  -1.369
